,University Names
858,Veer Surendra Sai University of Technology
859,Vel Tech Rangarajan Dr. Sagunthala R&D Institute of Science and Technology
860,Vellore Institute of Technology
861,Vels University
862,Vidyasagar University
863,Vignan University
864,Vijayanagara Sri Krishnadevaraya University
865,Vikram University
866,Vikrama Simhapuri University
867,Vinayaka Mission's Research Foundation
868,Vinayaka Missions Sikkim University
869,Vinoba Bhave University
870,Vishwakarma University
871,Visva-Bharati University
872,Visvesvaraya National Institute of Technology
873,Visvesvaraya Technological University
874,VIT Bhopal University
875,Vivekananda Global University
876,West Bengal State University
877,West Bengal University of Animal and Fishery Sciences
878,West Bengal University of Health Sciences
879,"West Bengal University of Teachers' Training, Education Planning and Administration"
880,"William Carey University, Meghalaya"
881,XIM University
882,YBN University
883,Yenepoya University
884,Yogi Vemana University
885,"<button class=""btn btn-secondary btn-sm"" type=""button"">Add University</button>"
886,Velagapudi siddhartha engineering college
887,Cambridge Advanced Model High School
888,JNTU University
889,S V University
890,YAGVALKYA  INSTITUTE OF TECHNOLOGY
891,Sri Venkateshwara University
892,JNTU
893, IIT 
894, IITD 
895, IITM 
896, IIIT 
897, IIM 
898, NIT 
899, DTU 
900, I.I.T. 
901, I.I.T.D. 
902, I.I.T.M. 
903, I.I.I.T. 
904, I.I.M. 
905,Velagapudi siddhartha engineering college
