,University Names
211,GLA University
212,Glocal University
213,GNA University
214,Goa University
215,Gokhale Institute of Politics and Economics
216,Gondwana University
217,Govind Ballabh Pant University of Agriculture and Technology
218,Govind Guru Tribal University
219,Graphic Era Hill University
220,Graphic Era University
221,GSFC University
222,Gujarat Ayurved University
223,Gujarat Forensic Sciences University
224,Gujarat National Law University
225,Gujarat Technological University
226,Gujarat University
227,Gujarat University of Transplantation Sciences
228,Gujarat Vidyapith
229,Gulbarga University
230,Guru Angad Dev Veterinary and Animal Sciences University
231,Guru Ghasidas Vishwavidyalaya
232,Guru Gobind Singh Indraprastha University
233,Guru Jambheshwar University of Science and Technology
234,Guru Kashi University
235,Guru Nanak Dev University
236,Guru Ravidas Ayurved University
237,Gurukul Kangri Vishwavidyalaya
238,Harcourt Butler Technical University
239,Haridev Joshi University of Journalism and Mass Communication
240,Hemchandracharya North Gujarat University
241,Hemwati Nandan Bahuguna Garhwal University
242,Hemwati Nandan Bahuguna Uttarakhand Medical Education University
243,Hidayatullah National Law University
244,Himachal Pradesh Technical University
245,Himachal Pradesh University
246,Himalayan Garhwal University
247,Himalayan University
248,Himgiri ZEE University
249,Hindustan Institute of Technology and Science
250,Homi Bhabha National Institute
251,"ICFAI University, Dehradun"
252,"ICFAI University, Himachal Pradesh"
253,"ICFAI University, Jaipur"
254,"ICFAI University, Jharkhand"
255,"ICFAI University, Meghalaya"
256,"ICFAI University, Mizoram"
257,"ICFAI University, Nagaland"
258,"ICFAI University, Raipur"
259,"ICFAI University, Sikkim"
260,"ICFAI University, Tripura"
261,IEC University
262,IFHE Hyderabad
263,IFTM University
264,IIHMR University
265,IIMT University
266,IMS Unison University
267,Indian Agricultural Research Institute
268,"Indian Institute of Engineering Science and Technology, Shibpur"
269,Indian Institute of Foreign Trade
270,Indian Institute of Information Technology Allahabad
271,Indian Institute of Information Technology and Management Gwalior
272,"Indian Institute of Information Technology, Design and Manufacturing"
273,"Indian Institute of Information Technology, Guwahati"
274,"Indian Institute of Information Technology, Kalyani"
275,"Indian Institute of Information Technology, Kottayam"
276,"Indian Institute of Information Technology, Lucknow"
277,"Indian Institute of Information Technology, Manipur"
278,"Indian Institute of Information Technology, Pune"
279,"Indian Institute of Information Technology, Sri City"
280,"Indian Institute of Information Technology, Una"
281,"Indian Institute of Information Technology, Vadodara"
282,Indian Institute of Public Health
283,Indian Institute of Science
284,"Indian Institute of Science Education and Research, Bhopal"
285,"Indian Institute of Science Education and Research, Kolkata"
286,"Indian Institute of Science Education and Research, Mohali"
287,"Indian Institute of Science Education and Research, Pune"
288,"Indian Institute of Science Education and Research, Thiruvananthapuram"
289,Indian Institute of Space Science and Technology
290,Indian Institute of Teacher Education
291,Indian Institute of Technology Bhubaneswar
292,Indian Institute of Technology Bombay
293,Indian Institute of Technology Delhi
294,Indian Institute of Technology Gandhinagar
295,Indian Institute of Technology Guwahati
296,Indian Institute of Technology Hyderabad
297,Indian Institute of Technology Indore
298,Indian Institute of Technology Jodhpur
299,Indian Institute of Technology Kanpur
300,Indian Institute of Technology Kharagpur
301,Indian Institute of Technology Madras
302,Indian Institute of Technology Mandi
303,Indian Institute of Technology Patna
304,Indian Institute of Technology Roorkee
305,Indian Institute of Technology Ropar
306,"Indian Institute of Technology, BHU"
307,Indian Maritime University
308,Indian School of Mines
309,Indian Statistical Institute
310,Indian Veterinary Research Institute
311,Indira Gandhi Delhi Technical University for Women
312,Indira Gandhi Institute of Development Research
313,Indira Gandhi Institute of Medical Sciences
314,Indira Gandhi Krishi Vishwavidyalaya
315,Indira Gandhi National Tribal University
316,Indira Gandhi Technological and Medical Sciences University
317,"Indira Gandhi University, Meerpur"
318,Indira Kala Sangeet Vishwavidyalaya
319,Indraprastha Institute of Information Technology
320,Indrashil University
321,Indus International University
322,Indus University
323,Institute of Advanced Research
324,Institute of Advanced Studies in Education
325,Institute of Chemical Technology
326,"Institute of Infrastructure, Technology, Research and Management"
327,Integral University
328,International Institute for Population Sciences
329,International Institute of Information Technology Bangalore
330,"International Institute of Information Technology, Bhubaneswar"
331,"International Institute of Information Technology, Hyderabad"
332,"International Institute of Information Technology, Naya Raipur"
333,Invertis University
334,ISBM University
335,Islamic University of Science and Technology
336,ITM University Gwalior
337,ITM University Raipur
338,ITM Vocational University
339,J.C. Bose University of Science and Technology
340,Jadavpur University
341,Jagadguru Ramanandacharya Rajasthan Sanskrit University
342,Jagadguru Rambhadracharya Handicapped University
343,Jagan Nath University
344,Jagannath University
345,Jagran Lakecity University
346,Jai Narain Vyas University
347,Jai Prakash Vishwavidyalaya
348,Jain University
349,Jain Vishva Bharati Institute
350,Jaipur National University
351,Jamia Hamdard
352,Jamia Millia Islamia
353,Jananayak Chandrashekhar University
354,Janardan Rai Nagar Rajasthan Vidhyapeeth University
355,Jawaharlal Institute of Postgraduate Medical Education and Research
356,Jawaharlal Nehru Architecture and Fine Arts University
357,Jawaharlal Nehru Centre for Advanced Scientific Research
358,Jawaharlal Nehru Krishi Vishwavidyalaya
359,Jawaharlal Nehru Technological University
360,"Jawaharlal Nehru Technological University, Anantapur"
361,"Jawaharlal Nehru Technological University, Kakinada"
362,Jawaharlal Nehru University
363,Jayoti Vidyapeeth Women's University
364,Jaypee Institute of Information Technology
365,Jaypee University Anoopshahr
366,Jaypee University of Engineering and Technology
367,Jaypee University of Information Technology
368,JECRC University
369,Jharkhand Rai University
370,Jharkhand Raksha Shakti University
371,JIS University
372,Jiwaji University
373,JK Lakshmipat University
374,Jodhpur National University
375,JS University
376,JSS Academy of Higher Education and Research
377,JSS Science and Technology University
378,Junagadh Agricultural University
379,K L University
380,K.K. University
381,K.R. Mangalam University
382,Kadi Sarva Vishwavidyalaya
383,Kakatiya University
384,Kalasalingam Academy of Research and Education
385,Kalinga University
386,Kamdhenu University
387,Kameshwar Singh Darbhanga Sanskrit University
388,Kannada University
389,Kannur University
390,Karnatak University
391,Karnataka Janapada Vishwavidyalaya
392,Karnataka Samskrit University
393,Karnataka State Law University
394,Karnataka State Rural Development and Panchayat Raj University
395,Karnataka State Women's University
396,"Karnataka Veterinary, Animal and Fisheries Sciences University"
397,Karnavati University
398,Karpagam Academy of Higher Education
399,Karunya Institute of Technology and Sciences
400,Kavayitri Bahinabai Chaudhari North Maharashtra University
401,Kavi Kulguru Kalidas Sanskrit Vishwavidyalaya
402,Kazi Nazrul University
403,Kaziranga University
404,Kerala Agricultural University
405,Kerala Kalamandalam
406,Kerala University of Fisheries and Ocean Studies
407,Kerala University of Health Sciences
408,Kerala Veterinary and Animal Sciences University
409,Khallikote University Berhampur
410,Khwaja Moinuddin Chishti Language University
411,KIIT University
412,King George's Medical University
413,KLE Technological University
414,KLE University
415,Kolhan University
416,Krantiguru Shyamji Krishna Verma Kachchh University
417,Krishna Institute of Medical Sciences
418,Krishna University
419,KSGH Music and Performing Arts University
420,Kumar Bhaskar Varma Sanskrit and Ancient Studies University
421,Kumaun University
422,Kurukshetra University
423,Kushabhau Thakre Patrakarita Avam Jansanchar University
424,Kuvempu University
425,Lakshmibai National Institute of Physical Education
426,Lakulish Yoga University
427,Lala Lajpat Rai University of Veterinary and Animal Sciences
428,Lalit Narayan Mithila University
429,Lingaya's University
430,LNCT University
431,Lovely Professional University
432,M.J.P. Rohilkhand University
433,Madan Mohan Malaviya University of Technology
434,Madhav University
435,Madhyanchal Professional University
436,Madurai Kamaraj University
437,Magadh University
438,Mahapurusha Srimanta Sankaradeva Viswavidyalaya
439,Maharaja Agrasen University
440,Maharaja Bir Bikram University
441,Maharaja Chhatrasal Bundelkhand University
442,Maharaja Ganga Singh University
443,Maharaja Krishnakumarsinhji Bhavnagar University
444,Maharaja Ranjit Singh Punjab Technical University
445,Maharaja Surajmal Brij University
446,Maharana Pratap University of Agriculture and Technology
447,Maharashtra Animal and Fishery Sciences University
448,Maharashtra National Law University Mumbai
449,"Maharashtra National Law University, Aurangabad"
450,"Maharashtra National Law University, Nagpur"
451,Maharashtra University of Health Sciences
452,"Maharishi Arvind University, Jaipur"
453,Maharishi Dayanand University
454,Maharishi Mahesh Yogi Vedic Vishwavidyalaya
455,"Maharishi Markandeshwar University, Mullana"
456,"Maharishi Markandeshwar University, Sadopur"
457,"Maharishi Markandeshwar University, Solan"
458,Maharishi University
459,Maharishi University of Management and Technology
460,Maharshi Dayanand Saraswati University
461,Maharshi Panini Sanskrit Vishwavidyalaya
462,Mahatma Gandhi Antarrashtriya Hindi Vishwavidyalaya
463,"Mahatma Gandhi Central University, Motihari"
464,Mahatma Gandhi Chitrakoot Gramoday Vishwavidyalaya
465,Mahatma Gandhi Kashi Vidyapeeth
466,Mahatma Gandhi University
467,Mahatma Gandhi University of Medical Sciences and Technology
468,"Mahatma Gandhi University, Meghalaya"
469,"Mahatma Gandhi University, Nalgonda"
470,Mahatma Jyoti Rao Phoole University
471,Mahatma Phule Krishi Vidyapeeth
472,Makhanlal Chaturvedi Rashtriya Patrakarita Vishwavidyalaya
473,"Malaviya National Institute of Technology, Jaipur"
474,Malwanchal University
475,Manav Bharti University
476,Manav Rachna International Institute of Research and Studies
477,Manav Rachna University
478,Mandsaur University
479,Mangalayatan University
480,Mangalore University
481,Manipal Academy of Higher Education
482,Manipur Technical University
483,Manipur University
484,Manipur University of Culture
485,Manonmaniam Sundaranar University
486,Martin Luther Christian University
487,Marwadi University
488,MATS University
489,"Maulana Abul Kalam Azad University of Technology, West Bengal"
490,Maulana Azad National Institute of Technology
491,Maulana Azad National Urdu University
492,"Maulana Azad University, Jodhpur"
493,Maulana Mazharul Haque Arabic and Persian University
494,Medi-Caps University
495,Meenakshi Academy of Higher Education and Research
496,Mewar University
497,MGM Institute of Health Sciences
498,MIT Art Design and Technology University
499,MIT University
500,Mizoram University
501,Mody University of Science and Technology
502,Mohammad Ali Jauhar University
503,Mohanlal Sukhadia University
504,Monad University
505,Mother Teresa Women's University
506,Motherhood University
507,Motilal Nehru National Institute of Technology Allahabad
508,MVN University
509,Nagaland University
510,Nalanda University
511,NALSAR University of Law
512,Nanaji Deshmukh Veterinary Science University
513,Narendra Dev University of Agriculture and Technology
514,Narsee Monjee Institute of Management and Higher Studies
515,National Dairy Research Institute
516,National Institute of Design
517,National Institute of Educational Planning and Administration
518,National Institute of Fashion Technology
519,National Institute of Food Technology Entrepreneurship and Management
520,National Institute of Mental Health and Neuro Sciences
521,"National Institute of Pharmaceutical Education and Research, Ahmedabad"
522,"National Institute of Pharmaceutical Education and Research, Guwahati"
523,"National Institute of Pharmaceutical Education and Research, Hajipur"
524,"National Institute of Pharmaceutical Education and Research, Hyderabad"
525,"National Institute of Pharmaceutical Education and Research, Kolkata"
526,"National Institute of Pharmaceutical Education and Research, Rae Bareli"
527,"National Institute of Pharmaceutical Education and Research, S.A.S. Nagar"
528,"National Institute of Technology, Agartala"
529,"National Institute of Technology, Arunachal Pradesh"
530,"National Institute of Technology, Calicut"
531,"National Institute of Technology, Delhi"
532,"National Institute of Technology, Durgapur"
533,"National Institute of Technology, Goa"
534,"National Institute of Technology, Hamirpur"
535,"National Institute of Technology, Jamshedpur"
536,"National Institute of Technology, Karnataka"
537,"National Institute of Technology, Kurukshetra"
538,"National Institute of Technology, Manipur"
539,"National Institute of Technology, Meghalaya"
540,"National Institute of Technology, Mizoram"
541,"National Institute of Technology, Nagaland"
542,"National Institute of Technology, Patna"
543,"National Institute of Technology, Puducherry"
544,"National Institute of Technology, Raipur"
545,"National Institute of Technology, Rourkela"
546,"National Institute of Technology, Sikkim"
547,"National Institute of Technology, Silchar"
548,"National Institute of Technology, Srinagar"
549,"National Institute of Technology, Tiruchirappalli"
550,"National Institute of Technology, Uttarakhand"
551,"National Institute of Technology, Warangal"
552,National Law Institute University
553,National Law School of India University
554,National Law University and Judicial Academy
555,National Law University Odisha
556,"National Law University, Delhi"
557,"National Law University, Jodhpur"
558,National Sports University
559,National University of Study and Research in Law
560,Nava Nalanda Mahavihara
561,Navrachana University
562,Navsari Agricultural University
563,Nehru Gram Bharati Vishwavidyalaya
564,NIILM University
565,NIIT University
566,Nilamber-Pitamber University
567,NIMS University
568,Nirma University
569,NITTE University
570,Nizam's Institute of Medical Sciences
571,Noida International University
572,North East Frontier Technical University
573,North Eastern Hill University
574,North Eastern Regional Institute of Science and Technology
575,North Orissa University
576,O.P. Jindal Global University
577,O.P. Jindal University
578,Odisha University of Agriculture and Technology
579,OPJS University
580,Oriental University
581,Osmania University
582,P P Savani University
583,P.K. University
584,Pacific Medical University
585,"Pacific University, India"
586,Padmashree Dr. D.Y. Patil Vidyapith
587,Palamuru University
588,Pandit Deendayal Petroleum University
589,Pandit Deendayal Upadhyaya Shekhawati University
590,Pandit Ravishankar Shukla University
591,Panjab University
592,Parul University
593,Patna University
594,PDM University
595,"PDPM Indian Institute of Information Technology, Design and Manufacturing"
596,PEC University of Technology
597,People's University
598,Periyar Maniammai Institute of Science and Technology
599,Periyar University
600,PES University
601,Plastindia International University
602,Pondicherry University
603,Ponnaiyan Ramajayam Institute of Science and Technology
604,Poornima University
605,Post Graduate Institute of Medical Education and Research
606,Potti Sreeramulu Telugu University
607,Pragyan International University
608,Pratap University
609,Pravara Institute of Medical Sciences
610,Presidency University
611,Presidency University
612,Professor Jayashankar Telangana State Agricultural University
613,Pt. Bhagwat Dayal Sharma University of Health Sciences
614,Punjab Agricultural University
615,Punjab Technical University
616,Punjabi University Patiala
617,"Punyashlok Ahilyadevi Holkar University, Solapur"
618,Quantum University
619,Rabindra Bharati University
620,Rabindranath Tagore University
621,Raffles University
622,Rai Technology University
623,Rai University
624,Raiganj University
625,Raj Rishi Bharthari Matsya University
626,Raja Mansingh Tomar Music and Arts University
627,Rajasthan Technical University Kota
628,Rajasthan University of Health Sciences
629,Rajasthan University of Veterinary and Animal Sciences
630,Rajiv Gandhi Institute of Petroleum Technology
631,Rajiv Gandhi National Aviation University
632,Rajiv Gandhi National Institute of Youth Development
633,Rajiv Gandhi National University of Law
634,Rajiv Gandhi Proudyogiki Vishwavidyalaya
635,Rajiv Gandhi University
636,Rajiv Gandhi University of Health Sciences
637,Rajiv Gandhi University of Knowledge Technologies
638,Rajmata Vijayaraje Scindia Krishi Vishwavidyalaya
639,Raksha Shakti University
640,Rama Devi Women's University
641,Rama University
642,Ramaiah University of Applied Sciences
643,Ramakrishna Mission Vivekananda Educational and Research Institute
644,Ranchi University
645,"Rani Channamma University, Belagavi"
646,Rani Durgavati Vishwavidyalaya
647,Rani Lakshmi Bai Central Agricultural University
648,Ras Bihari Bose Subharti University
649,Rashtrasant Tukadoji Maharaj Nagpur University
650,Rashtriya Sanskrit Sansthan University
651,Rashtriya Sanskrit Vidyapeetha
652,Ravenshaw University
653,Rayalaseema University
654,Rayat-Bahra University
655,REVA University
656,RIMT University
657,RK University
658,RKDF University
659,Sabarmati University
660,Sage University
661,Sai Nath University
662,Sai Tirupati University
663,"Sam Higginbottom Institute of Agriculture, Technology and Sciences"
664,Sambalpur University
665,Sampurnanand Sanskrit Vishvavidyalaya
666,Sanchi University of Buddhist-Indic Studies
667,Sandip University
668,"Sandip University, Sijoul"
669,Sangai International University
670,Sangam University
671,Sanjay Gandhi Post Graduate Institute of Medical Sciences
672,Sanjay Ghodawat University
673,Sankalchand Patel University
674,Sanskriti University
675,Sant Baba Bhag Singh University
676,Sant Gadge Baba Amravati University
677,Sant Longowal Institute of Engineering and Technology
678,Santosh University
679,Sarala Birla University
680,Sardar Patel University
681,"Sardar Patel University of Police, Security and Criminal Justice"
682,"Sardar Vallabhbhai National Institute of Technology, Surat"
683,Sardar Vallabhbhai Patel University of Agriculture and Technology
684,Sardarkrushinagar Dantiwada Agricultural University
685,Sarguja University
686,Sarvepalli Radhakrishnan University
687,SASTRA University
688,Satavahana University
689,Sathyabama Institute of Science and Technology
690,Saurashtra University
691,Saveetha Institute of Medical and Technical Sciences
692,Savitribai Phule Pune University
693,"School of Planning and Architecture, Bhopal"
694,"School of Planning and Architecture, Delhi"
695,"School of Planning and Architecture, Vijayawada"
696,Seacom Skills University
697,Sharda University
698,Sharnbasva University
699,Sher-e-Kashmir University of Agricultural Sciences and Technology of Jammu
700,Sher-e-Kashmir University of Agricultural Sciences and Technology of Kashmir
701,Sher-i-Kashmir Institute of Medical Sciences
702,Shiv Nadar University
703,Shivaji University
704,Shobhit Institute of Engineering and Technology
705,Shoolini University of Biotechnology and Management Sciences
706,Shree Guru Gobind Singh Tricentenary University
707,Shree Somnath Sanskrit University
708,Shreemati Nathibai Damodar Thackersey Women's University
709,Shri Govind Guru University
710,Shri Guru Ram Rai Education Mission
711,Shri Guru Ram Rai University
712,Shri Jagannath Sanskrit Vishvavidyalaya
713,Shri Jagdishprasad Jhabrmal Tibrewala University
714,Shri Lal Bahadur Shastri Rashtriya Sanskrit Vidyapeetha
715,Shri Mata Vaishno Devi University
716,Shri Ramswaroop Memorial University
717,Shri Vaishnav Vidyapeeth Vishwavidyalaya
718,Shri Venkateshwara University
719,Shri Vishwakarma Skill University
720,Shridhar University
721,Siddharth University
722,Sidho Kanho Birsha University
723,Sido Kanhu Murmu University
724,Sikkim Manipal University
725,Sikkim University
726,Siksha 'O' Anusandhan
727,Singhania University
728,Sir Padampat Singhania University
729,South Asian University
730,Spicer Adventist University
731,Sree Chitra Thirunal Institute of Medical Sciences and Technology
732,Sree Sankaracharya University of Sanskrit
733,Sri Balaji Vidyapeeth
734,Sri Chandrasekharendra Saraswathi Viswa Mahavidyalaya
735,Sri Dev Suman Uttarakhand University
736,Sri Devaraj Urs Academy of Higher Education and Research
737,Sri Guru Granth Sahib World University
738,Sri Guru Ram Das University of Health Sciences
739,Sri Konda Laxman Telangana State Horticultural University
740,Sri Krishnadevaraya University
